epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.176,2.05083,3.39028,1.55414,0.9587,0.25,0.24381,0.18898,1.30779,3.34641,1.14546,0.0003,0.0003,0.0003
2,469.412,1.32797,1.6331,1.07929,0.99968,0.25,0.33734,0.24356,1.29752,2.78452,1.11401,0.000606436,0.000606436,0.000606436
3,682.902,1.25377,1.19221,1.04849,0.95223,0.33135,0.93966,0.56077,1.29093,2.13898,1.06986,0.000906685,0.000906685,0.000906685
4,876.562,1.1728,1.07759,1.00098,0.9745,0.73846,0.97731,0.65296,1.11411,1.63633,0.97773,0.00120075,0.00120075,0.00120075
5,1043.97,1.16408,0.99929,0.98881,0.92341,0.89704,0.98721,0.63129,1.24429,1.31993,1.02394,0.0012005,0.0012005,0.0012005
6,1210.69,1.09203,0.90441,0.96511,0.96403,0.96408,0.98737,0.68817,1.05318,1.00287,0.9487,0.00118812,0.00118812,0.00118812
7,1447.42,1.09252,0.86326,0.96247,0.99134,0.98574,0.9915,0.70002,1.02487,0.88161,0.95948,0.00117575,0.00117575,0.00117575
8,1632.74,1.07968,0.81831,0.9636,0.98323,0.98618,0.99125,0.65813,1.11851,0.89072,1.01509,0.00116337,0.00116337,0.00116337
9,1825.82,1.06253,0.7915,0.96058,0.95394,0.96892,0.98903,0.68668,1.01645,0.82429,0.94787,0.001151,0.001151,0.001151
10,2015,1.03096,0.76023,0.95538,0.9797,0.99051,0.99083,0.67729,1.09389,0.7465,0.95583,0.00113863,0.00113863,0.00113863
