epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5065,2.44956,3.73919,1.77501,0.97506,0.25,0.24848,0.18092,1.36073,3.28256,1.21794,0.0003,0.0003,0.0003
2,20.4548,1.33308,1.79304,1.10553,1,0.24311,0.44818,0.30783,1.55559,2.8242,1.16752,0.000606436,0.000606436,0.000606436
3,27.8807,1.25042,1.24102,1.03738,0.97775,0.25626,0.87395,0.57992,1.13675,2.30812,1.01362,0.000906685,0.000906685,0.000906685
4,36.3302,1.17582,1.08245,1.00238,0.97605,0.69928,0.94076,0.60309,1.23335,1.61972,1.03248,0.00120075,0.00120075,0.00120075
5,44.1304,1.16955,0.9828,0.99375,0.88665,0.71428,0.95587,0.64739,1.06919,1.4935,0.99232,0.0012005,0.0012005,0.0012005
6,52.2011,1.09754,0.92009,0.97977,0.90207,0.92336,0.98534,0.64837,1.08983,1.08791,0.98246,0.00118812,0.00118812,0.00118812
7,60.7448,1.08823,0.89423,0.96949,0.98387,0.97019,0.98907,0.65992,1.04441,0.80036,0.96259,0.00117575,0.00117575,0.00117575
8,68.2564,1.05335,0.83757,0.96298,0.98753,0.9861,0.98759,0.70428,0.96746,0.63213,0.92288,0.00116337,0.00116337,0.00116337
9,76.9457,1.0321,0.78757,0.95357,0.99042,0.97971,0.98911,0.6746,1.07483,0.6283,0.96367,0.001151,0.001151,0.001151
10,85.6142,1.05679,0.77363,0.95438,0.99362,0.98781,0.98924,0.69122,0.9819,0.57536,0.9433,0.00113863,0.00113863,0.00113863
11,93.2859,1.07944,0.78094,0.95302,0.98262,0.97587,0.98756,0.69138,0.99278,0.62086,0.92417,0.00112625,0.00112625,0.00112625
12,101.851,1.01664,0.74042,0.93041,0.99105,0.98882,0.9917,0.70984,0.96678,0.55559,0.93335,0.00111388,0.00111388,0.00111388
13,109.534,0.99672,0.69955,0.9392,0.99488,0.99051,0.99023,0.68803,1.00641,0.54195,0.92357,0.0011015,0.0011015,0.0011015
14,117.952,0.99214,0.68754,0.93908,0.9775,0.98418,0.99139,0.69015,1.00591,0.61829,0.93845,0.00108913,0.00108913,0.00108913
15,126.594,0.97649,0.66256,0.93481,0.99168,0.99506,0.9926,0.70404,0.97364,0.55902,0.93034,0.00107675,0.00107675,0.00107675
16,134.294,0.99995,0.67634,0.93763,0.98827,0.99605,0.99255,0.70555,0.93563,0.53552,0.91901,0.00106437,0.00106437,0.00106437
17,143.257,0.97769,0.66148,0.92728,0.99741,0.99204,0.99258,0.69969,0.99285,0.53021,0.92028,0.001052,0.001052,0.001052
18,152.346,0.96927,0.65308,0.92597,0.994,0.99051,0.99251,0.68981,1.01,0.54436,0.9246,0.00103962,0.00103962,0.00103962
19,159.582,0.97781,0.64308,0.92738,0.99357,0.99624,0.99267,0.7073,0.93809,0.52307,0.90839,0.00102725,0.00102725,0.00102725
20,168.441,0.95567,0.60832,0.92689,0.99159,0.99051,0.99272,0.71821,0.97265,0.51249,0.91183,0.00101488,0.00101488,0.00101488
21,176.544,0.9527,0.60397,0.92338,0.99414,0.99168,0.99255,0.72734,0.90281,0.50814,0.9029,0.0010025,0.0010025,0.0010025
